FIPS,COUNTY_NAME,STATE_NAME,STATE_ABBR,AIRQUALTY_MEAN
53001,"Adams County",Washington,WA,5.88813789429
23001,"Androscoggin County",Maine,ME,5.88754600949
25019,"Nantucket County",Massachusetts,MA,5.88709910711
36035,"Fulton County","New York",NY,5.88379526138
50027,"Windsor County",Vermont,VT,5.88177291809
06083,"Santa Barbara County",California,CA,5.88136735747
26101,"Manistee County",Michigan,MI,5.88118809745
33017,"Strafford County","New Hampshire",NH,5.87939596176
31101,"Keith County",Nebraska,NE,5.87842902905
48017,"Bailey County",Texas,TX,5.8733962604
23031,"York County",Maine,ME,5.87255854905
41065,"Wasco County",Oregon,OR,5.87204846775
55051,"Iron County",Wisconsin,WI,5.86699687518
08081,"Moffat County",Colorado,CO,5.8529659907
31115,"Loup County",Nebraska,NE,5.84884409904
35006,"Cibola County","New Mexico",NM,5.84718324136
33019,"Sullivan County","New Hampshire",NH,5.8398563332
51113,"Madison County",Virginia,VA,5.83886397969
56033,"Sheridan County",Wyoming,WY,5.83313120666
36049,"Lewis County","New York",NY,5.83257328078
06053,"Monterey County",California,CA,5.8323871096
41043,"Linn County",Oregon,OR,5.8217248611
51163,"Rockbridge County",Virginia,VA,5.81777334213
48369,"Parmer County",Texas,TX,5.8033981514
35019,"Guadalupe County","New Mexico",NM,5.79961052418
36113,"Warren County","New York",NY,5.77742718061
48205,"Hartley County",Texas,TX,5.77475921843
31103,"Keya Paha County",Nebraska,NE,5.75294916718
31041,"Custer County",Nebraska,NE,5.74877367491
55125,"Vilas County",Wisconsin,WI,5.74461537249
46102,"Oglala Lakota County","South Dakota",SD,5.74176941812
08049,"Grand County",Colorado,CO,5.74065049908
48111,"Dallam County",Texas,TX,5.73270347383
35015,"Eddy County","New Mexico",NM,5.7285537119
41047,"Marion County",Oregon,OR,5.72749559879
35049,"Santa Fe County","New Mexico",NM,5.7177100346
37055,"Dare County","North Carolina",NC,5.7175116539
08077,"Mesa County",Colorado,CO,5.70592494444
56003,"Big Horn County",Wyoming,WY,5.70506706238
30055,"McCone County",Montana,MT,5.7039815817
50013,"Grand Isle County",Vermont,VT,5.70043449402
35043,"Sandoval County","New Mexico",NM,5.69299755193
